h,"IPAC Policies, Procedures, and Training"
q,Policies are written and readily availble to staff
q,Reviewed every 3 years
s,Education
q,New hire IPAC education
q,Annual IPAC education
q,New procedure education
q,Education is documented
q,Training is evaluated
s,Specific Policies
q,Boil-Water Advisory
q,Cleaning and disinfecting environmental surfaces
q,Cleaning blood/body fluid spills
q,Exposure protocol (blood/body fluids)
q,Waterline management and water quality
q,Equipment maintenance and record keeping
q,Single-use devices (not to be reprocessed unless by FDA cleared 3rd party)
q,Staff illness
q,Screening patients (e.g. ARI)
q,Staff bloodborne pathogen guidelines
q,Facial tissue is available to patients in waiting room
q,Sharps controls
s,Specific Training
q,HH (soap vs. ABHR)
q,Routine Precautions
q,PPE use
q,"Exposure protocol, prevention and management (sharps, body fluid, waste handling)"
q,Waste handling and disposal
q,"Water quality: including biofilm, water treatment, and maintenance of lines and equipment"
h,Occupational Health and Safety and Patient Screening
q,Appropriate staff immunizations
q,Appropriate infectious disease screening at hire
q,Body fluid exposure education/training
q,Hep B Immunity status confirmed for direct or indirect contact with blood/saliva
q,Appropriate sharps container is available at point-of-care
q,Sharps containers are not overfilled before removal
q,Safety-engineered sharps are used exclusively
q,Appropriate use of singl-use sharps
q,Material Safety Data Sheets (MSDS) are available for all chemical substances
q,Reception staff are protected by physical barrier or 2 metres from patients
q,ARI Screening/HH Signage for patients
q,ABHR available to patients and staff
q,Instruction to patients for HH before operatory seating
q,Respiratory ettiquet is promoted
q,PPE available to staff
q,Masks available to patients
h,Hand Hygiene & Routine Practices
q,Point of care HH stations
q,Dedicated HH sinks where risk of body fluid exposure
q,Mitigation of hand contamination at HH sinks via environmental or administrative controls (e.i. faucet opperation or procedures with paper towels on faucet)
q,Liquid soap available at HH sinks (bar soap is not allowed)
q,HH products are medical grade and compatible with each other and gloves
q,HH product containers are disposable
q,Antimicrobial soap or persistant agent ABHR is available (for invasive procedures)
q,Single-use hand towels
q,"Dedicated space(s) outside of operatory, laboratory, and/or reprocessing areas for:  food and beverage consumption, personal care, etc."
q,Appropriate clothing for exposure risks (i.e. scrubs)
q,Sterile gloves available for sterile procedures
q,Appropriate cleaning/disinfecting/sterilizing of equipment before being handled
q,"Contaminated equipment, unable to be properly processed are labelled as such"
q,Maintentance records kept in a logbook
q,Equipment maintenance is performed with PPE
s,Personal Protective Equipment
q,New gloves are donned for separate procedures on the same patient
q,New gloves are donned after being compromised
q,Gloves are doffed immediately after a procedure
q,PPE is used appropriately for spills/exposure
q,PPE is used appropriately for cleaning/disinfecting
q,PPE is changed when wet/contaminated
q,Masks are not touched during a procedure
q,"Appropriate use of single-use PPE (gloves, masks, gowns, face sheilds, etc.)"
q,Eye protection is worn by patients when reclined
q,Eye protection is cleaned and disinfected between use
q,PPE is removed before leaving operatory or point-of-care
q,Gloves are worn while exposing film in patient’s mouth
h,Environmental Barriers & Environmental Cleaning and Disinfection
,Surfaces
q,Work surfaces are cleanable (i.e. non-porous)
q,Operatories and reprocessing areas are free of fabric-upholstery and carpeting
q,Operatory furnature and surfaces are in good repair and cleanable
q,Dental light lense/sheild is in good repair and cleanable
q,Treatment area surfaces are free of unecessary supplies and equipment
q,Clean supplies are protected from contamination/exposure
q,Posters are wipeable (i.e. laminated)
q,Surface barriers are replaced/removed with procedures to prevent contamination
,Devices
q,"Permanent devices (i.e. high volume suction, saliva ejectors, air/water syringes) are cleaned and covered between patient use"
q,Contaminated permanent devices are disinfected between patient use
q,The operatory is inspected and cleaned/disinfected when necessary between patients
s,Cleaning Solutions
q,Cleaning solutions and disinfectants are used according to manufacturer’s instructions
q,"Ready-to-use products are used or fresh cleaning solution is prepared, dated and discarded according to the manufacturer’s instructions"
q,"When in-house solutions are discarded, the containers and dispensinc mechanisms are cleaned and dried"
q,Liquid products are not topped up
q,All materials and containers are labelled appropriately
q,"If chemicals are decanted into smaller bottles, they are labelled appropriately"
q,Non-disposable cleaning cloths and mop heads (e.g. microfibre) are laundered after each use and stored dry
q,Disinfectants have a Drug Identification Number (DIN) from Health Canada
q,"Prior to disinfection, all visibly soiled surfaces are cleaned appropriately"
q,Cleaning clothes are not double-dipped into cleaning solution
s,Surfaces
q,Dental surfaces and countertops not protected by barriers are cleaned and disinfected between each patient using a low-level disinfectant (LLD)
q,"Sufficient contact time (i.e. ""wet time"") is allowed for disinfecting"
q,"If a surface has been visibly soiled with blood, a low-level disinfectant is used"
q,"Housekeeping surfaces (floors, walls, sinks) are regularly cleaned using a low-level disinfectant"
q,"Walls, blinds, and window curtains are cleaned when visibly dusty or soiled"
,Waste/Linen
q,Reusable linen is laundered between patient use
q,Soiled linen is contained in leak-proof bags
q,Waste and linen containers are not over-filled
q,Appropriate disposal of general medical waste (i.e. ordinary waste)
q,Appropriate disposal of regulated medical waste (i.e. according to local regulations)
q,Waste containers are covered in storage areas
h,Waterlines and Water Quality
q,Monitoring and records are maintained for dental equipment and water quality
q,Coolant/Irrigant water for non-surgical procedures contains <= 500 CFU/ml (recommendation)
q,Sterile coolant/irrigant solutions used during surgical procedures
q,Manufacturer's instructions for water quality are available and followed
q,Manufacturer's instructions for anti-retraction valve maintenance are available and followed
h,Dental Devices
q,"Waterlines are turned on and flushed for at least 2-3 minutes at the beginning of the day, with handpieces disconnected"
q,"Dental devices that enter the mouth and are connected to the dental air/water system (including handpieces, air/water syringes, sonic/ultrasonic scalers, etc.) are flushed for 20- 30 seconds before removal for reprocessing"
q,Sterile water is available and delivered from a source separate from the dental unit
q,"Handpieces that can be removed from the air and waterlines are cleaned, lubricated and sterilized between patients"
q,Handpieces that can be removed from the air and waterlines are maintained according to the manufacturer’s instructions
q,Suction lines are purged between patients by aspirating water or an appropriate cleaning solution
q,"At least once per week, suction lines are flushed out with an enzymatic cleaner or appropriate cleaning solution"
q,Respiratory assist equipment is cleaned and high-level disinfected between patient use
h,Other
q,"Materials, impressions and intra-oral appliances are cleaned and disinfected prior to being sent to an off-site laboratory"
q,All items returned from an outside laboratory to a dental office are cleaned and disinfected prior to placing in a patient’s mouth 
q,On-site laboratories have a separate receiving area for contaminated items.
q,"Laboratory equipment that becomes contaminated is cleaned and disinfected between patients (e.g., articulators, case pans, rubber bowls, spatulas, lathes, pressure pots, water baths)"
